Season;Team;No.;Player;Pos;Ht;Wt;Birth Date;Country;Exp;College
1949-50;Tri-Cities Blackhawks;;Gene Berce;G-F;5-11;175;November 22, 1926;us;R;Marquette
1949-50;Tri-Cities Blackhawks;13;John Chaney;F-C;6-3;185;February 29, 1920;us;R;LSU
1949-50;Tri-Cities Blackhawks;11;Dike Eddleman;SF;6-3;189;December 27, 1922;us;R;Illinois
1949-50;Tri-Cities Blackhawks;12;Gene Englund;F-C;6-5;205;October 21, 1917;us;R;Wisconsin
1949-50;Tri-Cities Blackhawks;18;Dee Gibson;F-G;5-11;175;August 25, 1923;us;R;Western Kentucky
1949-50;Tri-Cities Blackhawks;8;Billy Hassett;G;5-11;180;October 21, 1921;us;R;Notre Dame
1949-50;Tri-Cities Blackhawks;20;Bill Henry;C;6-9;215;December 27, 1924;us;1;Rice University
1949-50;Tri-Cities Blackhawks;12;Jack Kerris;PF;6-6;215;January 30, 1925;us;R;Loyola Chicago
1949-50;Tri-Cities Blackhawks;4;Walt Kirk;PG;6-3;173;September 3, 1924;us;1;Illinois
1949-50;Tri-Cities Blackhawks;12;John Mahnken;C;6-8;220;June 16, 1922;us;3;Georgetown
1949-50;Tri-Cities Blackhawks;15;Jack Nichols;PF;6-7;222;April 9, 1926;;1;Washington
1949-50;Tri-Cities Blackhawks;9;George Nostrand;C-F;6-8;195;January 25, 1924;us;3;Wyoming
1949-50;Tri-Cities Blackhawks;15;Don Otten;C;6-10;240;April 18, 1921;us;R;Bowling Green
1949-50;Tri-Cities Blackhawks;20;Mac Otten;F-C;6-7;220;December 16, 1925;us;R;Bowling Green
1949-50;Tri-Cities Blackhawks;;Red Owens;SG;6-3;185;September 2, 1925;us;R;Baylor
1949-50;Tri-Cities Blackhawks;7;Warren Perkins;G-F;6-3;190;February 2, 1922;us;R;Tulane
1949-50;Tri-Cities Blackhawks;96;Don Ray;F-C;6-5;190;July 8, 1921;us;R;Western Kentucky
1949-50;Tri-Cities Blackhawks;;Dick Schulz;F-G;6-2;192;January 3, 1917;us;3;Wisconsin
1949-50;Tri-Cities Blackhawks;21;Mike Todorovich;F-C;6-5;220;June 11, 1923;us;R;Wyoming
1949-50;Tri-Cities Blackhawks;8;Gene Vance;G-F;6-3;195;February 25, 1923;us;2;Illinois
1949-50;Tri-Cities Blackhawks;6;Whitey Von Nieda;G-F;6-1;170;June 19, 1922;us;R;Penn State
1949-50;Tri-Cities Blackhawks;17;Murray Wier;G;5-9;155;December 12, 1926;us;R;Iowa
1950-51;Tri-Cities Blackhawks;;Ed Beach;F;6-3;200;January 25, 1929;us;R;West Virginia
1950-51;Tri-Cities Blackhawks;16;Harry Boykoff;C;6-10;225;July 24, 1922;us;1;St. John's
1950-51;Tri-Cities Blackhawks;13;Frankie Brian;G;6-1;180;May 1, 1923;us;1;LSU
1950-51;Tri-Cities Blackhawks;12;Tommy Byrnes;F-G;6-3;175;February 19, 1923;us;4;Seton Hall
1950-51;Tri-Cities Blackhawks;15;Bob Carpenter;F-C;6-5;200;November 6, 1917;us;1;Texas A&M University-Commerce
1950-51;Tri-Cities Blackhawks;14;Cal Christensen;SF;6-5;210;June 6, 1927;us;R;Toledo
1950-51;Tri-Cities Blackhawks;12;Ray Corley;G;6-0;180;January 14, 1928;us;1;Georgetown
1950-51;Tri-Cities Blackhawks;10;Hank DeZonie;C-F;6-6;215;February 12, 1922;us;R;Clark Atlanta University
1950-51;Tri-Cities Blackhawks;18;Dike Eddleman;SF;6-3;189;December 27, 1922;us;1;Illinois
1950-51;Tri-Cities Blackhawks;10;Ed Gayda;G-F;6-4;210;May 16, 1927;;R;Washington State
1950-51;Tri-Cities Blackhawks;9;John Hargis;G-F;6-2;180;August 20, 1920;us;1;Texas
1950-51;Tri-Cities Blackhawks;16;Kleggie Hermsen;C-F;6-9;225;March 12, 1923;us;4;Minnesota
1950-51;Tri-Cities Blackhawks;20;Noble Jorgensen;C;6-9;228;May 18, 1925;us;2;Iowa
1950-51;Tri-Cities Blackhawks;17;John Logan;G;6-2;175;January 1, 1921;us;4;Indiana
1950-51;Tri-Cities Blackhawks;15;Jack Nichols;PF;6-7;222;April 9, 1926;;2;Washington
1950-51;Tri-Cities Blackhawks;11;Warren Perkins;G-F;6-3;190;February 2, 1922;us;1;Tulane
1950-51;Tri-Cities Blackhawks;20;Ed Peterson;C;6-9;220;June 27, 1924;us;1;Cornell
1950-51;Tri-Cities Blackhawks;9;Herb Scherer;C;6-9;212;December 21, 1928;us;R;Long Island University
1950-51;Tri-Cities Blackhawks;19;Mike Todorovich;F-C;6-5;220;June 11, 1923;us;1;Wyoming
1950-51;Tri-Cities Blackhawks;12;Gene Vance;G-F;6-3;195;February 25, 1923;us;3;Illinois
1951-52;Milwaukee Hawks;;Elmer Behnke;C;6-7;210;February 3, 1929;us;R;Bradley
1951-52;Milwaukee Hawks;21;Charlie Black;F-C;6-5;200;June 15, 1921;us;2;Kansas
1951-52;Milwaukee Hawks;18;Don Boven;SG;6-4;210;March 6, 1925;us;1;Western Michigan
1951-52;Milwaukee Hawks;15;Art Burris;SF;6-5;220;April 7, 1924;us;1;Tennessee
1951-52;Milwaukee Hawks;20;Cal Christensen;SF;6-5;210;June 6, 1927;us;1;Toledo
1951-52;Milwaukee Hawks;20;Dillard Crocker;PF;6-4;205;January 19, 1925;us;2;Western Michigan
1951-52;Milwaukee Hawks;21;Nate DeLong;C;6-6;220;January 5, 1926;us;R;Wisconsin-River Falls
1951-52;Milwaukee Hawks;18;Dike Eddleman;SF;6-3;189;December 27, 1922;us;2;Illinois
1951-52;Milwaukee Hawks;;Jerry Fowler;C;6-8;230;June 20, 1927;us;R;Missouri
1951-52;Milwaukee Hawks;22;Mel Hutchins;C;6-6;200;November 22, 1928;us;R;BYU
1951-52;Milwaukee Hawks;16;Walt Kirk;PG;6-3;173;September 3, 1924;us;2;Illinois
1951-52;Milwaukee Hawks;15;John McConathy;F;6-5;195;April 9, 1930;us;R;Northwestern State University
1951-52;Milwaukee Hawks;17;Dick Mehen;PF;6-5;195;May 20, 1922;us;2;Tennessee
1951-52;Milwaukee Hawks;14;Kevin O'Shea;G;6-2;175;July 10, 1925;us;1;Notre Dame
1951-52;Milwaukee Hawks;14;Don Otten;C;6-10;240;April 18, 1921;us;2;Bowling Green
1951-52;Milwaukee Hawks;;Red Owens;SG;6-3;185;September 2, 1925;us;1;Baylor
1951-52;Milwaukee Hawks;15;Don Rehfeldt;SF;6-7;210;January 7, 1927;us;1;Wisconsin
1951-52;Milwaukee Hawks;;John Rennicke;G;6-2;185;August 11, 1929;us;R;Drake University
1951-52;Milwaukee Hawks;11;Gene Vance;G-F;6-3;195;February 25, 1923;us;4;Illinois
1951-52;Milwaukee Hawks;12;Bob Wilson;PG;6-4;185;March 8, 1926;us;R;West Virginia State University
1952-53;Milwaukee Hawks;;Don Boven;F-G;6-4;210;March 6, 1925;us;2;Western Michigan
1952-53;Milwaukee Hawks;;Jim Brasco;G;6-1;170;February 3, 1931;us;R;NYU
